score,matched_terms,id,title,date,item_url,subjects,tags,media_urls
6,director; scene; atmosphere; rhythm; style; play,731,"June 28, 1937 (afternoon)","June 28, 1937",https://collections.uwindsor.ca/chekhov/item/731,"Rainis, Jānis, 1865-1929. The Golden steed; Carnival (scene); Ibsen, Henrik, 1828-1906. Ghosts; Shakespeare, William, 1564-1616. Hamlet",atmosphere; Carnival scene; costume; director; fairy tale; feeling of the whole; Ghosts; Golden Steed; Hamlet; Ibsen; idea of the play; lighting; Rainis; rhythm; Shakespeare; speech; style,https://collections.uwindsor.ca/files/original/ce51e55b21af7040504880f52ba9eac752693ab3.pdf
5,director; scene; mise; atmosphere; tempo,662,"February 1, 1937","February 1, 1937",https://collections.uwindsor.ca/chekhov/item/662,"Słowacki, Juliusz, 1809-1849. Balladina; Cervantes Saavedra, Miguel de, 1547-1616. The Cave of Salamanca; Rainis, Jānis, 1865-1929. The Golden steed; The fishing scene",atmosphere; Balladina; Cave of Salamanca; Cervantes; costume; director; fishing scene; Golden Steed; mise en scène; psychological gesture; Rainis; Słowacki; tempo,https://collections.uwindsor.ca/files/original/1966a3ede8cfa9cdb6ab96fac16a2021763e49f5.pdf
5,director; audience; atmosphere; theatre; objective,1085,"February 17, 1942: Second open lecture to actors held at ""Actors Service,"" New York","February 17, 1942",https://collections.uwindsor.ca/chekhov/item/1085,"Shakespeare, William, 1564-1616. Othello; Shakespeare, William, 1564-1616. Hamlet; Hitler, Adolf, 1889-1945; Churchill, Winston S. (Winston Spencer), 1940-2010; Shakespeare, William, 1564-1616. Romeo and Juliet; Shakespeare, William, 1564-1616. Tempest; Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote; Goethe, Johann Wolfgang von, 1749-1832; Mussolini, Benito, 1883-1945",atmosphere; audience; Cervantes; Churchill; cliché; creativity; director; Don Quixote; Goethe; Hamlet; Hitler; imagination; inspiration; method [Chekhov]; Mussolini; objective; Othello; Romeo and Juliet; Shakespeare; technique; Tempest; theatre of the future,https://collections.uwindsor.ca/files/original/e2ad8ea668fcbc88e78d31b43871e4335c42382c.pdf
5,scene; mise; atmosphere; play; objective,660,"January 25, 1937","January 25, 1937",https://collections.uwindsor.ca/chekhov/item/660,"Słowacki, Juliusz, 1809-1849. Balladina; Rainis, Jānis, 1865-1929. The Golden steed; Ibsen, Henrik, 1828-1906. Peer Gynt; Stanislavsky, Konstantin, 1863-1938; The fishing scene; The fairy tale / Two kings (scene)",Alan Harkness; atmosphere; Balladina; fairy tale; fishing scene; flying over the play; Golden Steed; Ibsen; mise en scène; objective; Peer Gynt; psychological gesture; Rainis; speech; Stanislavsky; Słowacki,https://collections.uwindsor.ca/files/original/1a6a83bcbf0a102fe3a2b4df34b3ccc4c293c1ad.pdf
5,atmosphere; form; theatre; objective; group,903,"July 11, 1938","July 11, 1938",https://collections.uwindsor.ca/chekhov/item/903,"Group Theatre (U.S.); Shdanoff, George, 1905-1998. The Possessed; Dobuzhinskiĭ, Mstislav Valerianovich, 1875-1957; Hauptmann, Gerhart, 1862-1946; Dostoyevsky, Fyodor, 1821-1881",atmosphere; Beatrice Straight; concentration; Dobuzhinsky; Dostoyevsky; feeling of truth; form; George Shdanoff; Group Theatre; Hauptmann; improvisation; method [Chekhov]; objective; Possessed; psychology,https://collections.uwindsor.ca/files/original/4e64a54aa0cdb66593b07903f1c15bac7e4d51bb.pdf
5,director; scene; mise; tempo; theatre,719,"June 14, 1937","June 14, 1937",https://collections.uwindsor.ca/chekhov/item/719,"Stanislavsky, Konstantin, 1863-1938; Bridie, James, 1888-1951. The Anatomist; Moscow Art Theatre; Ibsen, Henrik, 1828-1906. Peer Gynt; The fishing scene; Rainis, Jānis, 1865-1929. The Golden steed",Anatomist; Bridie; designer; director; feeling of truth; fishing scene; Golden Steed; Ibsen; justification; mise en scène; Moscow Art Theatre; Rainis; Stanislavsky; tempo,https://collections.uwindsor.ca/files/original/da09ff37032af3a2ba4eeb19bd6c57febbc332c5.pdf
5,scene; ensemble; form; style; objective,955,"May 18, 1939","May 18, 1939",https://collections.uwindsor.ca/chekhov/item/955,The fishing scene,body; contact; ensemble feeling; exercises; feeling of beauty; feeling of ease; feeling of form; feeling of truth; fishing scene; imagination; objective; psychology; style,https://collections.uwindsor.ca/files/original/f6b6ef8766e1894e627b68337b32914ef2040cd3.pdf
5,scene; ensemble; atmosphere; form; objective,954,"May 2, 1939","May 2, 1939",https://collections.uwindsor.ca/chekhov/item/954,"The fishing scene; The robbers (scene); Gorky, Maksim, 1868-1936. The Lower depths; Ibsen, Henrik, 1828-1906. Peer Gynt",atmosphere; ensemble feeling; exercises; feeling of ease; feeling of form; fishing scene; Gorky; Ibsen; imagination; improvisation; Lower Depths; movement; objective; Peer Gynt; psychological gesture; robbers scene,https://collections.uwindsor.ca/files/original/7a96feab5763addc935a616638809b698fd58c65.pdf
4,director; scene; rhythm; objective,696,"April 28, 1937","April 28, 1937",https://collections.uwindsor.ca/chekhov/item/696,"Shakespeare, William, 1564-1616. Hamlet; Shakespeare, William, 1564-1616. King Lear; The fishing scene; Carnival (scene)",Carnival scene; characterization; director; fishing scene; Hamlet; improvisation; King Lear; objective; psychological gesture; rhythm; Shakespeare,https://collections.uwindsor.ca/files/original/230b3047b9246815edf8a5f4c2d88e97cbef563a.pdf
4,director; atmosphere; theatre; action,1077,"December 1, 1941: Michael Chekhov's eighth class for professional actors: The role of the director","December 1, 1941",https://collections.uwindsor.ca/chekhov/item/1077,"Moscow Art Theatre; Shakespeare, William, 1564-1616. Hamlet; Shakespeare, William, 1564-1616. Romeo and Juliet; Eliot, T. S. (Thomas Stearns), 1888-1965. Murder in the cathedral; Hughes, Langston, 1902-1967. Mulatto; Raphael, 1483-1520; Rembrandt Harmenszoon van Rijn, 1606-1669; Shaw, Bernard, 1856-1950",action; atmosphere; characterization; cliché; creativity; Eliot; Hamlet; Hughes; intellect; Moscow Art Theatre; Mulatto; Murder in the Cathedral; Raphael; Rembrandt; Romeo and Juliet; Shakespeare; Shaw; will,https://collections.uwindsor.ca/files/original/9581e17a7a3a183d104d790c4db9c387d28fe2a8.pdf
