item_id,media_id,title,date,status,pages,chars,pdf_path,text_path,candidate_count_so_far
546,1095,"""The First Studio Grows Up."" Inside the Moscow Art Theatre. (New York, Brentano's, Inc., 1925), pp. 162-172",1925,ok,13,20039,pdf_cache/item_546_the-first-studio-grows-up-inside-the-moscow-art-theatre-new-york-brentano-s-inc-1925-pp-16.pdf,extracted_text_all/item_546_the-first-studio-grows-up-inside-the-moscow-art-theatre-new-york-brentano-s-inc-1925-pp-16.txt,26
547,1099,The Actor's Problem: Preface to the Memoirs of M. A. Chekhov,04-Nov-27,ok,9,11929,pdf_cache/item_547_the-actor-s-problem-preface-to-the-memoirs-of-m-a-chekhov.pdf,extracted_text_all/item_547_the-actor-s-problem-preface-to-the-memoirs-of-m-a-chekhov.txt,63
548,1098,"Extracts from ""The wind from the Caucasus""",1929,ok,2,1989,pdf_cache/item_548_extracts-from-the-wind-from-the-caucasus.pdf,extracted_text_all/item_548_extracts-from-the-wind-from-the-caucasus.txt,64
549,1100,Epigraph from Michael Chekhov and His Characters,1932-33,ok,1,648,pdf_cache/item_549_epigraph-from-michael-chekhov-and-his-characters.pdf,extracted_text_all/item_549_epigraph-from-michael-chekhov-and-his-characters.txt,64
550,1101,"April 3, 1935: Thank you note to Deirdre Hurst",03-Apr-35,ok,1,407,pdf_cache/item_550_april-3-1935-thank-you-note-to-deirdre-hurst.pdf,extracted_text_all/item_550_april-3-1935-thank-you-note-to-deirdre-hurst.txt,64
551,1102,"April 7, 1935: Thank you note to Beatrice Straight",07-Apr-35,ok,1,548,pdf_cache/item_551_april-7-1935-thank-you-note-to-beatrice-straight.pdf,extracted_text_all/item_551_april-7-1935-thank-you-note-to-beatrice-straight.txt,67
552,1103,"March, 1935: Cable to Beatrice Straight","March, 1935",ok,1,462,pdf_cache/item_552_march-1935-cable-to-beatrice-straight.pdf,extracted_text_all/item_552_march-1935-cable-to-beatrice-straight.txt,67
553,1104,"March 16, 1935: Three lessons given to Beatrice Straight and Deirdre Hurst: First Lesson",16-Mar-35,ok,7,7885,pdf_cache/item_553_march-16-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-first-lesson.pdf,extracted_text_all/item_553_march-16-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-first-lesson.txt,174
554,1105,"March 18, 1935: Three lessons given to Beatrice Straight and Deirdre Hurst: Second lesson",18-Mar-35,ok,5,5692,pdf_cache/item_554_march-18-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-second-lesson.pdf,extracted_text_all/item_554_march-18-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-second-lesson.txt,249
555,1106,"March 22, 1935: Three lessons given to Beatrice Straight and Deirdre Hurst: Third lesson",22-Mar-35,ok,4,4460,pdf_cache/item_555_march-22-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-third-lesson.pdf,extracted_text_all/item_555_march-22-1935-three-lessons-given-to-beatrice-straight-and-deirdre-hurst-third-lesson.txt,300
556,1107,Chekhov Theatre Studio,1936,ok,25,25142,pdf_cache/item_556_chekhov-theatre-studio.pdf,extracted_text_all/item_556_chekhov-theatre-studio.txt,457
557,1108,The path of the actor,1926; translation 1936,ok,121,166309,pdf_cache/item_557_the-path-of-the-actor.pdf,extracted_text_all/item_557_the-path-of-the-actor.txt,1644
558,1109,The theatre of the future,1936,ok,14,23935,pdf_cache/item_558_the-theatre-of-the-future.pdf,extracted_text_all/item_558_the-theatre-of-the-future.txt,1945
559,1110,Immensity,"June 6, 1931; translation 1936-37",ok,8,11357,pdf_cache/item_559_immensity.pdf,extracted_text_all/item_559_immensity.txt,1952
560,1111,"Prince Sergi Volkonsky, Paris, 1931",1931,ok,4,5272,pdf_cache/item_560_prince-sergi-volkonsky-paris-1931.pdf,extracted_text_all/item_560_prince-sergi-volkonsky-paris-1931.txt,1955
561,1112,Chart of exploration given by Michael Chekhov as a guide for using his method,1937,ok,2,1319,pdf_cache/item_561_chart-of-exploration-given-by-michael-chekhov-as-a-guide-for-using-his-method.pdf,extracted_text_all/item_561_chart-of-exploration-given-by-michael-chekhov-as-a-guide-for-using-his-method.txt,1972
562,1113,Suggestions for article by M. Chekhov,1940-41,ok,2,2528,pdf_cache/item_562_suggestions-for-article-by-m-chekhov.pdf,extracted_text_all/item_562_suggestions-for-article-by-m-chekhov.txt,1979
563,1114,"January 12, 1948: Recommendation letter for Deirdre Hurst du Prey",12-Jan-48,ok,1,610,pdf_cache/item_563_january-12-1948-recommendation-letter-for-deirdre-hurst-du-prey.pdf,extracted_text_all/item_563_january-12-1948-recommendation-letter-for-deirdre-hurst-du-prey.txt,1984
564,1115,King Lear and its appeal to the director,1941,ok,3,4218,pdf_cache/item_564_king-lear-and-its-appeal-to-the-director.pdf,extracted_text_all/item_564_king-lear-and-its-appeal-to-the-director.txt,2004
565,1116,"Impressions of Michael Chekhov, the actor, and recollections of the Chekhov Theatre Studio","March, 1976",ok,5,6429,pdf_cache/item_565_impressions-of-michael-chekhov-the-actor-and-recollections-of-the-chekhov-theatre-studio.pdf,extracted_text_all/item_565_impressions-of-michael-chekhov-the-actor-and-recollections-of-the-chekhov-theatre-studio.txt,2021
566,1117,To the reader,"June, 1977",ok,10,13754,pdf_cache/item_566_to-the-reader.pdf,extracted_text_all/item_566_to-the-reader.txt,2027
567,1119,History of Dartington Hall,,ok,3,4358,pdf_cache/item_567_history-of-dartington-hall.pdf,extracted_text_all/item_567_history-of-dartington-hall.txt,2028
568,1120,Preface,,ok,1,1555,pdf_cache/item_568_preface.pdf,extracted_text_all/item_568_preface.txt,2031
569,1121,"Michael Chekhov biography, incomplete, no page number",,ok,1,1717,pdf_cache/item_569_michael-chekhov-biography-incomplete-no-page-number.pdf,extracted_text_all/item_569_michael-chekhov-biography-incomplete-no-page-number.txt,2045
570,1122,"Michael Chekhov biography, incomplete, page 6",,ok,1,547,pdf_cache/item_570_michael-chekhov-biography-incomplete-page-6.pdf,extracted_text_all/item_570_michael-chekhov-biography-incomplete-page-6.txt,2045
571,1123,Lecture flyer: Michael Chekhov -- The actor and the theatre of tomorrow,,ok,1,774,pdf_cache/item_571_lecture-flyer-michael-chekhov-the-actor-and-the-theatre-of-tomorrow.pdf,extracted_text_all/item_571_lecture-flyer-michael-chekhov-the-actor-and-the-theatre-of-tomorrow.txt,2045
572,1124,Author agreement between Performing Arts Journal Inc. and Deirdre Hurst du Prey,"July 19, 1984",ok,2,8047,pdf_cache/item_572_author-agreement-between-performing-arts-journal-inc-and-deirdre-hurst-du-prey.pdf,extracted_text_all/item_572_author-agreement-between-performing-arts-journal-inc-and-deirdre-hurst-du-prey.txt,2045
573,1125,"Letter to Deirdre Hurst du Prey, notes attached",,ok,6,4705,pdf_cache/item_573_letter-to-deirdre-hurst-du-prey-notes-attached.pdf,extracted_text_all/item_573_letter-to-deirdre-hurst-du-prey-notes-attached.txt,2045
574,1126,The actor is the theatre (title page and introduction),1977,ok,11,15256,pdf_cache/item_574_the-actor-is-the-theatre-title-page-and-introduction.pdf,extracted_text_all/item_574_the-actor-is-the-theatre-title-page-and-introduction.txt,2047
575,1127,"April 8, 1936: Lessons to teachers: Lesson I",08-Apr-36,ok,7,8153,pdf_cache/item_575_april-8-1936-lessons-to-teachers-lesson-i.pdf,extracted_text_all/item_575_april-8-1936-lessons-to-teachers-lesson-i.txt,2159
576,1128,"April 11, 1936: Lessons to teachers: Lesson II",11-Apr-36,ok,4,4378,pdf_cache/item_576_april-11-1936-lessons-to-teachers-lesson-ii.pdf,extracted_text_all/item_576_april-11-1936-lessons-to-teachers-lesson-ii.txt,2219
577,1129,"April 13, 1936: Lessons to teachers: Lesson III",13-Apr-36,ok,5,5386,pdf_cache/item_577_april-13-1936-lessons-to-teachers-lesson-iii.pdf,extracted_text_all/item_577_april-13-1936-lessons-to-teachers-lesson-iii.txt,2290
578,1130,"April 15, 1936: Lessons to teachers: Lesson IV",15-Apr-36,ok,6,6805,pdf_cache/item_578_april-15-1936-lessons-to-teachers-lesson-iv.pdf,extracted_text_all/item_578_april-15-1936-lessons-to-teachers-lesson-iv.txt,2381
579,1131,"April 17, 1936: Notes taken during conversation",17-Apr-36,ok,4,4558,pdf_cache/item_579_april-17-1936-notes-taken-during-conversation.pdf,extracted_text_all/item_579_april-17-1936-notes-taken-during-conversation.txt,2444
580,1136,"April 25, 1936: Lessons to teachers: Lesson V",25-Apr-36,ok,3,3318,pdf_cache/item_580_april-25-1936-lessons-to-teachers-lesson-v.pdf,extracted_text_all/item_580_april-25-1936-lessons-to-teachers-lesson-v.txt,2488
581,1137,"May 1, 1936: Lessons to teachers: Lesson VI",01-May-36,ok,4,4726,pdf_cache/item_581_may-1-1936-lessons-to-teachers-lesson-vi.pdf,extracted_text_all/item_581_may-1-1936-lessons-to-teachers-lesson-vi.txt,2543
582,1138,"May 5, 1936: Lessons to teachers: Lesson VII",05-May-36,ok,3,2697,pdf_cache/item_582_may-5-1936-lessons-to-teachers-lesson-vii.pdf,extracted_text_all/item_582_may-5-1936-lessons-to-teachers-lesson-vii.txt,2578
583,1139,"May 7, 1936: Lessons to teachers: Lesson VIII",07-May-36,ok,3,3412,pdf_cache/item_583_may-7-1936-lessons-to-teachers-lesson-viii.pdf,extracted_text_all/item_583_may-7-1936-lessons-to-teachers-lesson-viii.txt,2622
584,1140,"May 10, 1936: Lessons to teachers: Lesson IX",10-May-36,ok,5,4794,pdf_cache/item_584_may-10-1936-lessons-to-teachers-lesson-ix.pdf,extracted_text_all/item_584_may-10-1936-lessons-to-teachers-lesson-ix.txt,2689
